id,created_at,favorite_count,retweet_count,text
1600473222394306561,2022-12-07 12:52:06+00:00,45,2,Overall we think Welltower is an overpriced to perfection REIT obfuscating its distressed assets raising questions about both its portfolio and the credibility of management as it attempts to raise capital from investors WELL
1600473220573908993,2022-12-07 12:52:05+00:00,18,1,WELL also faces significantly larger maturities moving past 2023 with 2024 and 2025 debt totaling over 3 7 billion in a rising interest rate environment The company has been aggressively diluting raising 4 5 billion in equity through ATM offerings in the past 2 years
1600473217814040580,2022-12-07 12:52:05+00:00,13,1,This comes despite an industry in turmoil a 2022 report said 50 of long term post acute home health facilities had defaulted in the last 12 mos The report surveyed 100 healthcare CFOs amp found 25 who had not yet defaulted were concerned they would default on loans in 22
1600473213426802688,2022-12-07 12:52:04+00:00,11,2,WELL trades at a premium to competitors with its price estimated NTM AFFO at 22 69x 22 higher than the average multiple of comparably rated Ventas and Healthpeak It has the lowest dividend yield of its peers indicating that the market views it as a safe asset
1600473208473276416,2022-12-07 12:52:02+00:00,25,2,Instead we found Perigrove s office on the outskirts of New York City in a strip mall sharing an address with an auto parts store On the front door of the building Perigrove s name was spelled wrong as Perigove with stickers
1600473202823557120,2022-12-07 12:52:01+00:00,11,2,Perigrove s website claims it operates out of a prestigious office building in Manhattan We visited and found the company has no presence at its claimed address
1600473197937274880,2022-12-07 12:52:00+00:00,12,1,Perigrove had a documented role in only 1 project we could find through its website an attempted launch of a 30 million crypto token to raise funds for a property once dubbed by Crain s Business as the city s worst illegal hotel The token offering looks to have failed
1600473191763566592,2022-12-07 12:51:58+00:00,20,2,Perigrove claimed on its website to have run 12 past real estate projects Real estate records show all were actually led by other developers
1600473186839064576,2022-12-07 12:51:57+00:00,13,1,Gefner also claims to be CEO of prolific PE firm Perigrove which claimed to have raised 3B We found no Form ADVs or Ds for Gefner or Perigrove We found no association w a broker dealer indicating Perigrove may have lied about its raises or raised capital illegally
1600473182342815744,2022-12-07 12:51:56+00:00,11,1,The undisclosed relationship raises questions of overt conflicts of interest in the Gefner Welltower Genesis dealings WELL
1600473180258242560,2022-12-07 12:51:56+00:00,10,1,Gefner previously worked at the investment firm that owned Genesis according to contact database records Gefner s PE firm Perigrove at one point shared an office address w an affiliate of the owner of Genesis
1600473177632563200,2022-12-07 12:51:55+00:00,10,1,WELL appears to have quietly disposed of 21 of its most deeply distressed Genesis assets to a Gefner affiliated firm once again handing skilled nursing facilities over to an inexperienced operator and clearing its books of the mess
1600473175392866304,2022-12-07 12:51:55+00:00,11,1,Evidence indicates that another of WELL s distressed deals a 2021 restructuring with troubled Genesis Healthcare mirrored the latest miracle deal
1600473173417336832,2022-12-07 12:51:54+00:00,12,2,As far as we know there is none A senior ProMedica employee told us Integra had no operating experience and came in after WELL couldn t find genuine operators They are set to take over a master lease for 147 nursing facilities
1600473170741297157,2022-12-07 12:51:53+00:00,12,3,Integra s CEO 29 y o David Gefner has no apparent background in the skilled nursing space A former WELL exec to told us he d never heard of Gefner Integra has 0 employees on LinkedIn except for Gefner who claims to have worked at the 6 month old entity for 11 months
1600473166039482369,2022-12-07 12:51:52+00:00,10,1,Despite the high praise from WELL management and claims of being a well experienced operator Integra seems to barely exist The entity was registered 6 months ago with its corporate website registered the same day
1600473161157312513,2022-12-07 12:51:51+00:00,9,0,WELL s CEO said that Integra provided a well capitalized strategic partner that would result in Welltower being paid 4 more in cash rent under the new JV coming out ahead despite the distressed situation
1600473158426894336,2022-12-07 12:51:50+00:00,10,2,On Nov 7th 2022 WELL announced a solution it would transfer the operation of 147 skilled nursing facilities out of ProMedica and into a new joint venture with a health care operator called Integra Health The deal helped fuel a 9 rise in Welltower s stock
1600473154299625474,2022-12-07 12:51:49+00:00,6,0,Given its size as WELL s largest operator Welltower has stressed the importance of ProMedica s financial health as a key risk factor
1600473148876464128,2022-12-07 12:51:48+00:00,12,1,Until last month WELL s largest tenant was a health system in the Midwest called ProMedica which accounted for 12 of the company s 2021 NOI ProMedica faced severe distress and began breaching bond covenants in early 2022 threatening Welltower s investment
1600473143952351232,2022-12-07 12:51:47+00:00,16,0,Welltower Inc WELL is a healthcare REIT with a 32 billion market cap that is the largest owner of senior housing facilities in the U S with investments in 1 568 properties 2 x
1600473141452619776,2022-12-07 12:51:46+00:00,156,41,NEW FROM US Welltower Exposing The Shell Game WELL 1 x
1582717420669612032,2022-10-19 12:56:53+00:00,33,4,ESTA is priced as if dominating the U S market is a sure thing largely over its claims of superior safety We expect its U S launch will flop and its stock will see 90 long term downside given the significant risks and its stretched balance sheet
1582717417842937858,2022-10-19 12:56:52+00:00,11,0,Beyond undisclosed safety questions we have also identified financial risks Import export records show that Establishment ships product to entities formerly owned by the CEO and his family raising questions of conflicts of interest
1582717414026121216,2022-10-19 12:56:51+00:00,5,0,ESTA also claims to have piloted a revolutionary technique to place implants through the armpit using local anesthesia This type of insertion has been reported since the 70s amp has been widely available for 20 years It failed to gain traction due to safety risks
1582717411127500800,2022-10-19 12:56:50+00:00,7,1,The FDA key to ESTA s U S plans presented an existential risk to the industry a month ago issuing a new warning due to women getting mysteriously sick after augmentations They noted an emerging issue of cancers lymphomas linked to all implants signaling a crackdown
1582717406232788992,2022-10-19 12:56:49+00:00,4,0,Another of ESTA s innovations its SmoothSilk Nano Surface was touted as producing positive clinical safety outcomes 15 of 24 authors of its key safety study had ties to ESTA 12 had financial ties
1582717398536577025,2022-10-19 12:56:47+00:00,7,1,These RFID chips were originally intended for pets ESTA bought the technology from a company that reportedly improperly marketed its implanted microchip for medical uses before failing after cancer concerns about the chip were revealed by the media
1582717393901846530,2022-10-19 12:56:46+00:00,6,1,ESTA has claimed to have pioneered innovations like its Qid chip technology a scannable RFID chip embedded inside its implants used by doctors to obtain serial numbers and other basic information about the implant
1582717388813762561,2022-10-19 12:56:45+00:00,7,0,Following this the company controlled by Establishment s CEO marketed and sold PIP s silicone implants across Latin America anyway They were eventually recalled after up to 400 000 women received faulty implants with the founder of PIP sentenced to 4 years in prison
1582717383860375557,2022-10-19 12:56:44+00:00,5,0,ESTA s Founder amp CEO was previously a key distributor of Poly Implant Proth se PIP In 2000 the FDA seized amp banned PIP saline implants over massive manufacturing amp safety risks
1582717378680750080,2022-10-19 12:56:43+00:00,5,1,Dozens of patient testimonials and multiple lawsuits stand at stark odds with ESTA s claims of safety and satisfaction One complained of a rupture prompting an emergency surgery Another said her husband needs to stop during sex to rotate her implant back into place
1582717374058631169,2022-10-19 12:56:42+00:00,4,0,Surgeons from Italy amp Argentina wrote a letter to the editor of Aesthetic Surgery Journal questioning an expert consensus recommendation of ESTA implants The survey data was gathered in part using an electronically delivered questionnaire via Survey Monkey
1582717369138679808,2022-10-19 12:56:40+00:00,5,0,The lead surgeon on what Australian authorities believed to be the co s only unconflicted paper told us he stopped using ESTA implants due to mobility issues He said he received pushback from ESTA for publishing evidence showing complication rates higher than reported the co
1582717364969574400,2022-10-19 12:56:39+00:00,3,1,Australian and French authorities expressed concerns with the company s data with Australian regulators calling the company s main safety data observational uncontrolled studies
1582717361282461697,2022-10-19 12:56:39+00:00,16,1,Despite claims of superior safety we found that almost all key safety studies touted by the company have conflicts of interest with many undisclosed or under disclosed
1582717358543552512,2022-10-19 12:56:38+00:00,14,2,The advisor ESTA just hired to support its U S launch was sued by the SEC in 2018 for fraudulently lying and then destroying records that concealed regulatory and safety issues with breast implants He is currently serving an SEC mandated 5 year officer and director ban
1582717353561034752,2022-10-19 12:56:37+00:00,10,0,Nonetheless investors have awarded a nosebleed 9 5x sales multiple for ESTA in anticipation of it receiving quick FDA approval in 2023 amp dominating the world s largest market the US with its product s superior safety record Its closest peer Sientra trades for 0 5x sales
1582717349718695938,2022-10-19 12:56:36+00:00,9,2,With only 91 3 million in cash and 145 5 million in debt at a 9 interest rate and burning 14 2 million in free cash flow per quarter ESTA will continue to require capital to fuel its operations
1582717346954690560,2022-10-19 12:56:35+00:00,6,0,ESTA has incurred losses every year as a public company accumulating a 249 4 million deficit Recent losses have accelerated in Q2 2022 it lost 37 1 million compared to a loss of 5 3 million in Q2 of the previous year
1582717342404186113,2022-10-19 12:56:34+00:00,9,0,Echoing the narrative of innovative companies like Apple Amazon HP and others Establishment CEO Juan Jos Chac n Quir s has touted that he developed his implant prototypes with a modified pizza oven in his garage ESTA
1582717337135816705,2022-10-19 12:56:33+00:00,12,1,Founded in 2004 ESTA manufactures and sells breast implants that it claims are vastly safer than competitors due to its revolutionary technology backed by rigorous science and clinical data
1582717331641602048,2022-10-19 12:56:31+00:00,149,37,NEW FROM US Establishment Labs A Financially Stretched Silicone Safety Charade 1 x ESTA
