id,created_at,favorite_count,retweet_count,text
1601242358456410113,2022-12-09 15:48:22+00:00,0,0,to What percentage of claims paid are paid by employees Once you know that what default rate is implied by this amount of bad debt Does that implied default rate make sense to you And no this isn't macro This was happening in 2021 when macro couldn't have been kinder
1600952902322769920,2022-12-08 20:38:10+00:00,2,0,Again We think PBM and TPA peers are right but if you want to mindlessly compare PGNY to health care tech peers it chooses in its proxy fine
1600900607585681408,2022-12-08 17:10:22+00:00,1,0,that blue chip corporate clients are not defaulting on payments in a material way then what must the default rate on member payments be to drive a 2 of TOTAL revs bad debt rate And why don't other TPAs and PBMs have any material bad debt expense but PGNY does
1600900604485718016,2022-12-08 17:10:22+00:00,0,1,Image from a sell side defense of PGNY Folks we dedicated an entire section of our report to explaining what it means if these WERE indeed legitimate bad debt expenses lt 2 sounds small but member payments are a single digit percentage of revenues If you assume
1600568873895477281,2022-12-07 19:12:11+00:00,5,0,What KeyBanc is saying is a transparently stupid straw man version of one specific sub point in our thesis We actually debated not including that chart because people might intentionally misinterpret it as the point but we bet that nobody could be that dishonest
1600568871815102485,2022-12-07 19:12:10+00:00,8,1,We're told KeyBanc is cherrypicking a select chart from our report to make it look like our PGNY argument is wow margins went up 100bps from accounting games in this one quarter That's not what we're saying We're saying this
1600562105890918401,2022-12-07 18:45:17+00:00,2,0,3 3 Progyny's investor relations confirmed to KeyBanc the most important message to convey is that we have no concerns about the integrity of our financial reporting or the accuracy of our financial statements Well that's good
1600562103064006658,2022-12-07 18:45:17+00:00,1,0,2 3 We conveniently dedicated pp 22 25 of today's report to debunking this exact excuse Part of the reason we like this short is that the management explanation doesn't hold water
1600562097318133760,2022-12-07 18:45:15+00:00,1,0,1 3 As previously known PGNY amended rebate receivables which caused an increase in DSO KeyBanc analyst via Bloomberg defending PGNY Really
1600525065392738304,2022-12-07 16:18:06+00:00,0,0,Directly from the next paragraph in our report that you're referring to
1600494058559905793,2022-12-07 14:14:53+00:00,7,0,8 8 We calculate that these and other clever tools are the only thing keeping reported profits and cash flows positive at PGNY Easy borrow low short interest Full report at
1600494056429293571,2022-12-07 14:14:53+00:00,8,0,7 8 In our fieldwork calls we found that industry experts expect sustainable gross margins out of this business that are you guessed it about 900bps lower than what the company reports One former PGNY executive said the reported revenues flat out never made sense to him
1600494054403411976,2022-12-07 14:14:52+00:00,6,0,6 8 Before stock compensation PGNY has negative cash flow from operations and this deficit is getting worse Why do sell side analysts think this business actually generates cash Reflexivity The more your stock falls the more stock you need to issue to pay bills
1600494050536210434,2022-12-07 14:14:52+00:00,6,0,5 8 But hey what if we re wrong about 3 In that case PGNY is a deep subprime lender with huge member default rates We re in near Goldilocks consumer macro conditions today If bad debt expense normalizes modestly higher reported EBIT could get wiped out
1600494046476214277,2022-12-07 14:14:51+00:00,6,0,4 8 PGNY has corporate clients with high credit quality Facebook Amazon etc So why are bad debt expenses so astronomically high compared to similar benefit managers We think this is the other side of systematically overstated revenues
1600494041841520642,2022-12-07 14:14:49+00:00,6,0,3 8 In Q421 PGNY changed 10 K accounting language to make this change and the numbers blew out that very same quarter We estimate this had 7m of gross profit benefit in Q322 alone
1600494037861031941,2022-12-07 14:14:49+00:00,6,0,2 8 Three quick steps to inflating profits A Stop using historical gross margins when booking today s expenses B Start using expected margins C Expect ridiculously high margins It s actually that simple And you can see the impact in PGNY numbers
1600494035600285697,2022-12-07 14:14:48+00:00,41,11,1 8 We are short PGNY a third party administrator that we find has pulled off some amazing accounting tricks We think gross margins are as much as 900bps lower than what the company reports New credit risk also present Full report at
1600233623667429376,2022-12-06 21:00:01+00:00,28,2,We're publishing a new short idea tomorrow before the open Low short interest easy to borrow substantial market cap Subscribe to our e mail list at to receive the full written report or check back here on our Twitter handle for a summary
1590348883368239104,2022-11-09 14:21:35+00:00,5,1,3 questions for ARRY 1 Why did founder amp COO both resign in last month 2 You told us that STI had 30 gross margins why didn't you clarify the inventory production anomaly 3 How much cash flow benefit did you get in 9m22 from liquidating old STI AR and Inventory
1590348881581068288,2022-11-09 14:21:35+00:00,4,0,4 Remember how we said the 30 gross margin ARRY claimed for STI was a red herring and long term STI margins are much lower They finally began acknowledging this look at the Q amp A with the Goldman analyst on the call What else is a red herring
1590348879882772480,2022-11-09 14:21:34+00:00,2,0,If ARRY can't generate meaningful organic FCF in a period of windfall pull forward sales and deliveries when exactly is it supposed to do so
1590348878288941056,2022-11-09 14:21:34+00:00,3,0,3 But wow a great cash flow number right 43m legal settlement one time 63m enormous inventory destocking one time Without these no CFFO Inv destocking is consistent with our thesis remember how STI brought one time working capital FCF benefits
1590348876619608064,2022-11-09 14:21:34+00:00,3,0,Restatement relates to contract accounting they overstated revenues and STI's gross margin they understated COGS See our report this is familiar Oh and they found yet another material weakness Auditors should have a fun time with this company's audit in Feb 2023
1590348875008978949,2022-11-09 14:21:33+00:00,4,0,1 ARRY's 60 yr old founder quit his cushy board seat at the co Usually departing directors choose not to stand for re election sudden resignation is worse Analysts didn't even ask about this on the call 2 Do we even need to comment on ANOTHER accounting restatement
1590348873272131584,2022-11-09 14:21:33+00:00,13,5,ARRY If you can afford to look at all the holes amp warnings in this print it's well worth it It's part of a pattern with this company A short thread on Q322 followed by questions for management please enjoy
1589625225465200640,2022-11-07 14:26:02+00:00,11,0,Funny how this article mentions NMC Health without mentioning who caught the fraud in the first place
1582044230830039040,2022-10-17 16:21:52+00:00,6,1,It gets better Anyone notice that ARRY waited to tell the market until SIX DAYS after the guy gave his notice From the 8k released today
1570401856081502208,2022-09-15 13:19:13+00:00,5,0,7 7 Blackstone filed a 13D on 9 1 showing it had cut its stake in ARRY Market didn't like that But we don t think the market is aware that Blackstone has since been filing Form 144s registering to sell a lot more shares
1570401851350339586,2022-09-15 13:19:12+00:00,8,0,6 7 ARRY s product has become commoditized There s not even a line item for R amp D in the income statement amp apparently no new products since founder sold to Oaktree 6 yrs ago And yes competitors are introducing new products left amp right
1570401849680826368,2022-09-15 13:19:12+00:00,4,0,5 7 ARRY bragged that acquired co STI Norland had a 30 gross margin But half STI s gross profit was due to a massive increase in inventories a stupid quirk of Spanish GAAP Analysts model that STI will go back to those high margins They ll be waiting a LONG time
1570401847831302145,2022-09-15 13:19:11+00:00,6,0,4 7 After years of horrific cash burn investors are excited by ARRY s FY22 guide of 100m positive FCF But look up Spanish filings of STI Norland which ARRY recently acquired STI delayed collecting receivables prior to acquisition Receivables worth um almost 100m
1570401845989838849,2022-09-15 13:19:11+00:00,3,0,3 7 Bill and hold revenue recognition used by ARRY is notorious for its frequent association with accounting fraud ARRY seems to be the only co in its peer group to use it so when DSOs go up dramatically up gt 100 over 2 years pay attention
1570401844383580161,2022-09-15 13:19:11+00:00,4,0,2 7 Per one former employee ARRY would book revs without even having manufactured the product let alone having shipped it Another ARRY s claims of a 20 gross margin are crazy amp real gross margin is approx 10 11 Street is modeling 20 margin for 23 amp beyond
1570401842441453568,2022-09-15 13:19:10+00:00,29,5,1 7 We are short ARRY a levered company we see as inflating revs margins even cash flows Former employees tell amazing stories of accounting games and bold impossible promises made by management to investors Full report no paywall at
