id,created_at,favorite_count,retweet_count,text
1602272056585977856,2022-12-12 12:00:01+00:00,350,65,Classic Bear Market behavior one more potential Top
1599014562413522944,2022-12-03 12:15:54+00:00,22,3,My Core Models amp analysis are shared here when time permits
1599010559617138695,2022-12-03 12:00:00+00:00,794,162,Core Models are approaching another major Sell signal Hope for the best but be prepared for the worst
1593937132082577413,2022-11-19 12:00:00+00:00,731,135,Stocks are approaching another important Top Short sellers have been squeezed out Key Stocks are leading the downside ahead of the Indexes Core Models are on track to trigger Sell signals soon Watch the next 1 2 weeks closely
1592125198550978560,2022-11-14 12:00:02+00:00,242,29,Updated review of Markets shared recently with clients amp partners
1586326985067798528,2022-10-29 12:00:00+00:00,684,142,Max FOMO
1583775170690285569,2022-10-22 11:00:00+00:00,490,98,Special Update on Gold Sentiment may soon turn UP from a Major capitulation This was a massive two year consolidation Precious Metals sentiment amp positioning has been wiped out Momentum is slowly turning up Is Gold near a historic turn
1581963238429716480,2022-10-17 11:00:02+00:00,1165,264,A historic Bubble is still unwinding This is why Put spikes did NOT mark bottoms this year despite many hoping for one Meanwhile Trillions in passive Equity assets could still be sold as capitulation rolls in Bear Markets bottom on liquidation This isn t even close
1578430036709081088,2022-10-07 17:00:21+00:00,9,0,Agreed Trading is a serious game Calling a 2 day bounce a new Bull Market not so much The most important Stocks came into this week with deeply negative Weekly momentum Any actual focused Trader would have seen the high risk of failure The majority here did not
1578424433336758274,2022-10-07 16:38:05+00:00,12,1,Just yesterday they were calling new Bull Market after Stocks went up 2 days In August they were calling new Bull Market because 50 retracement There s a pattern here
1577976966308929536,2022-10-06 11:00:00+00:00,420,81,Is the Stock Market Dominated by Bears Who Are Still Afraid to Sell Good read from Features my updated ETF Flow chart Watch what they do not what they say No capitulation yet
1574070791603425283,2022-09-25 16:18:16+00:00,454,38,The bottom won t come while hopeful investors crowd around an indicator most record Put spikes led to big losses Big bottoms in Bear Markets June for example are far more disorderly emotional Ran a new historical analysis Now vs prior Big bottoms We re not even close
1566018168585322496,2022-09-03 11:00:01+00:00,1094,205,My first report in more than a year One of the biggest Reviews I ve ever published A Major Update on Markets 2022 Edition
1563481456848125952,2022-08-27 11:00:02+00:00,1277,249,Everyone is Bearish Not true Not even close
1562031904747974656,2022-08-23 11:00:01+00:00,472,102,Full reversal from mass Selling to mass Buying
1560674529554604032,2022-08-19 17:06:18+00:00,193,12,Gravestone doji weekly AAPL among many Worse broad macro signals from Aug 17 tweets have only deteriorated Sadly have to block replies bots are out of control broken platform Met many PMs who want more info just send a msg at the blog contact Look fwd to meeting you
1559960349981511680,2022-08-17 17:48:24+00:00,370,36,A textbook rally from start to finish Every Core Model Buy amp Macro signal from the last 2 months turned into a Sell this week Stocks which led up are now leading down Momentum turning lower if one looks close enough Bears have been silenced Bulls run unchecked
1559857577667723265,2022-08-17 11:00:01+00:00,1360,271,Full reversal from record Short to extreme Long From max Fear to max FOMO
1557759216680574976,2022-08-11 16:01:53+00:00,9,0,Every tailwind from 2 months ago quietly turning into a headwind Equities always last to get the memo as you know good luck saying that on twitter though
1557055649783111681,2022-08-09 17:26:10+00:00,253,34,Human nature cc
1553334594962763776,2022-07-30 11:00:01+00:00,529,100,A strong rally for those who followed their process amp patiently built Longs in May June Never easy but we did ok Shifting focus as Q3 evolves Raising cash as Stocks reach targets Adjusting Tactically as Models turn down Aug Sep look tougher watching closely
1545724455221137409,2022-07-09 11:00:02+00:00,2001,510,Record Shorts heading into next week s CPI Econ releases
1540651026759532545,2022-06-25 11:00:03+00:00,1124,254,New record low
1538114310555242497,2022-06-18 11:00:03+00:00,1068,287,Record low
1536353624133091329,2022-06-13 14:23:42+00:00,582,144,Today was the 4th lowest TICK in 30 years of NYSE data history Only 7 days ever saw a TICK below 2000
1531231547168378881,2022-05-30 11:10:24+00:00,7,0,Took a lot of heat for being constructive into those May lows Appreciate you saying this
1530066585829916673,2022-05-27 06:01:15+00:00,36,7,Bear claws last weekend now this Article is packed w consensus views quotes
1527967440541519872,2022-05-21 11:00:00+00:00,684,128,Another critical week Stocks which led the decline are forming higher lows ARKK SOX RTY Bios VIX failed again Defensives hit hard Bonds stabilized amp trading well A well known Stock fund shut down Bear claws on magazine cover Stay focused one day at a time
1525128738316423168,2022-05-13 15:00:01+00:00,262,34,A critically important week Rates began reacting MAY 4 FOMC Stocks amp Crypto tested key levels amp reacted MAY 12 day after CPI VIX turned down Watching the tape closely Core Buy signals are active with room to run It s never easy stay focused one day at a time
1524002892578967553,2022-05-10 12:26:18+00:00,28,0,My main focus at this time Core Models in place for potential Major low approaching 1st time since mid March If when confirmed by Buy signals could trigger multi wk rally agree w you maybe wreck many popular narratives Long amp Short Tape approaching a critical moment
1519617418456301568,2022-04-28 10:00:00+00:00,1786,443,Investor sentiment is at historic pessimism In 35 years only five other weeks got this extreme Four during the 1990 Recession trough Inflation peak One at the exact bottom in March 2009
1519190632358727682,2022-04-27 05:44:06+00:00,17,0,Buy signals are triggered when models hit oversold and turn UP Models triggered Buys on MAR 23 2020 see my tweets MAR 24 25 Have been sharing signals freely for years most know my process Doing some homework studying amp sharing ideas is a better approach Try it next time
1517820585082032133,2022-04-23 11:00:01+00:00,962,169,Some of my most important Equity Models are approaching their third Buy signal of the year The first two led to large bounces 9 12 With the panic in Rates now at historic extremes the May FOMC CPI could mark a Major turning point for Stocks amp Bonds Watching closely
1512412779910733826,2022-04-08 12:51:20+00:00,1,0,Please reach out via the website contact let us know if you re an individual or institutional investor
1508766152389967877,2022-03-29 11:20:56+00:00,15,0,Pls try to pay attention didn t mention QQQ in Nov Was public since Aug Sep focusing on Energy amp Commodities they ve done well since the Nov Buy signal Started getting constructive on Tech in late Jan Details matter
1506224176792756225,2022-03-22 11:00:02+00:00,281,44,As of yesterday s close NDX had a 5 Day Breadth Thrust of 77 Top 0 4 of all days NDX also had a 5 Day gain of 10 Below shared the last time this happened Twitter feedback remains extremely negative since late Jan Feb when most Quality Tech Growth Stocks bottomed
1504779866436218895,2022-03-18 11:20:52+00:00,7,0,Himmelreich Timely observations as always from JC And the below still applies feedback on Twitter today is even more extreme
1502615397736005633,2022-03-12 12:00:02+00:00,1377,253,Tech is near the most oversold levels in history Bears see the big Bear Markets Bulls see the historic rallies some even in Bear Markets Traders only react they Buy strength a turn UP set Stops and follow the market Be prepared
1501610136112185344,2022-03-09 17:25:29+00:00,142,17,For students of markets SX5E closed up 8 7 with 49 50 Advancers SX7E Banks closed up 11 with 22 22 Advancers Both among the most powerful moves in history Remember this day
