id,created_at,favorite_count,retweet_count,text
1600516060846985219,2022-12-07 15:42:19+00:00,4,1,In case you have any issues opening the report Here is a link to a PDF version
1600514989634240514,2022-12-07 15:38:04+00:00,5,2,We conclude that GWH is dishonest un investible and we believe the stock is a terminal zero
1600514932113563650,2022-12-07 15:37:50+00:00,2,0,In January 2022 the most powerful insiders founder and president Craig Evans CEO Eric Dresselhuys as well as CFO Moftakhar Amir started selling their shares to the market and already netted over 1 7m in private gains
1600514852354678784,2022-12-07 15:37:31+00:00,4,0,GWH lead engineer was formerly the responsible engineering head for the famously dysfunctional Tesla solar tiles
1600514739804798976,2022-12-07 15:37:04+00:00,2,2,GWH engineering team has a personal history of grifting from failed projects The two founders worked many years in leading engineering roles for ClearEdge Power Inc a fuel cell company that declared bankruptcy in a sudden announcement
1600514669457903616,2022-12-07 15:36:47+00:00,1,0,A history of consistent failure when working with marquee potential customers leads us to disbelieve the company s very bold claims about its differentiated technology
1600514606623084545,2022-12-07 15:36:32+00:00,1,0,GWH has boasted about a blue chip customer base However all these pre agreements were later abandoned without any re contracting or any recognized revenue for over ten years
1600514491938136067,2022-12-07 15:36:05+00:00,2,0,ESI has apparently not even an office for operations and their headquarters is a local caf
1600514377718943744,2022-12-07 15:35:38+00:00,1,0,ESI announced a 70m new flagship battery factory for their alleged collaboration with GWH with a groundbreaking ceremony in July 2022 We found evidence that the factory is not being built
1600514272823500802,2022-12-07 15:35:13+00:00,2,1,We believe GWH took significant efforts to conceal its relationship with ESI before announcing their big agreement which makes us believe that management is trying to deliberately mislead investors
1600514175117262848,2022-12-07 15:34:50+00:00,1,0,We found that ESI this supposedly massive strategic partner has no discernible activities outside of its work with GWH
1600514130380718081,2022-12-07 15:34:39+00:00,2,0,Our research uncovers ESI is a de facto subsidiary of GWH masquerading as third party client ESI changed its name in February 2022 and shared a near identical logo with GWH until this change
1600514006825013250,2022-12-07 15:34:09+00:00,1,0,The ESI partnership is the key revenue generating agreement and the only major announcement GWH had since going public and seems to be the key aspect sell side analysts are concentrating on
1600513951019704321,2022-12-07 15:33:56+00:00,2,0,This breakthrough finally comes following a complete lack of revenue after over 10 years of GWH operations
1600513894547685376,2022-12-07 15:33:43+00:00,2,0,On August 11 2022 GWH announced a breakthrough partnership under which GWH will initially supply 70 of its Energy Warehouse systems to an Australian company Energy Storage Industries Asia Pacific ESI
1600513830966239238,2022-12-07 15:33:28+00:00,1,0,The market for long duration battery storage is highly competitive and technically challenging We argue GWH claims about its technology are overstated and targeted at creating investor hype for laypeople regarding the field of battery engineering
1600513757205204999,2022-12-07 15:33:10+00:00,3,1,ESS Tech Inc GWH develops and produces utility scale batteries for long duration storage of electricity employing a simple yet revolutionary technology iron salt and water that according to them miraculously solves all the ultra hard problems of battery engineering
1600513611402575872,2022-12-07 15:32:35+00:00,28,11,Caught Red Handed We Present Evidence that ESS Tech Inc s Biggest Customer is Really an Undisclosed Related Party Without Operations GWH Read our New Critical Report Here
1600235314945019904,2022-12-06 21:06:44+00:00,52,7,Stay tuned for the publication of our new critical report tomorrow It is a smaller sized company but the fraud is absolutely egregious and needs to be called out We believe this company is a terminal zero
1584618434801053696,2022-10-24 18:50:50+00:00,25,1,
1541801430302035970,2022-06-28 15:11:20+00:00,22,3,Join us on with where we will answer all questions regarding our new critical research report about NIO
1541793835965186048,2022-06-28 14:41:10+00:00,56,7,Yes you read that right the Chinese government invested 1bn in 2020 in NIO China and already was paid back 2bn and is owed another 6bn Ask yourself who is getting the short end of the stick
1541793224410501121,2022-06-28 14:38:44+00:00,25,2,Chinese government entities have redeemed US 2B from NIO and may collect another US 6 7B With NIO cash balance of just US 8 2B We believe shareholders risk being materially diluted in future periods
1541793144387272704,2022-06-28 14:38:25+00:00,23,2,In an apparent violation of these Users trust Li pledged these shares to UBS to secure a personal loan With NIO stock declining 50 since the pledge we believe shareholders are unknowingly exposed to the risk of a margin call against the Users Trust shares
1541793089488035843,2022-06-28 14:38:12+00:00,18,2,In January 2019 Bin Li transferred 50M shares to the NIO Users Trust an opaque BVI entity purportedly established to provide NIO Users with more influence over the Company s governance
1541793043275284482,2022-06-28 14:38:01+00:00,26,3,While he has been hailed as the Elon Musk of China Li s past ventures have seen their stocks collapse and been taken private at a fraction of their peak valuations
1541793007824953344,2022-06-28 14:37:52+00:00,27,6,NIO Chairman and CEO Bin Li is closely tied to Joy Capital and Erhai Liu parties central to the Luckin Coffee Fraud
1541792955522072576,2022-06-28 14:37:40+00:00,20,1,Weineng s top two executives currently double as NIO Vice President and Battery Operating Executive Manager
1541792920679882753,2022-06-28 14:37:32+00:00,20,1,Of course it would take a willing potential accomplice to pull off such a scheme While NIO represents limited control over Weineng we identified notable conflicts of interest between the two parties
1541792872290197504,2022-06-28 14:37:20+00:00,21,1,For Q4 2021 this number only gets worse and we estimate NIO oversupplied up to another 15 200 batteries The effect of this action on NIO bottom line is enormous
1541792809639895041,2022-06-28 14:37:05+00:00,19,1,Considering Weineng s recent disclosure of 19 000 battery subscriptions we questioned why Weineng held 40 053 batteries as inventory on September 30 2021 We believe NIO flooded Weineng with up to extra 21 053 batteries worth 1 147M RMB to boost its numbers
1541792777348026369,2022-06-28 14:36:57+00:00,30,1,Through this arrangement we think NIO has juiced its numbers by pulling forward 7 years of revenue
1541792736210190342,2022-06-28 14:36:48+00:00,31,1,By transferring the burden of collecting monthly subscriptions to Weineng NIO has accelerated its revenue growth Instead of recognizing revenue over the life of the subscription 7 years Weineng allows NIO to recognize revenue from the batteries they sell immediately
1541792674239348736,2022-06-28 14:36:33+00:00,30,1,We believe sales to Weineng have inflated NIO revenue and net income by 10 and 95 respectively Specifically we find that at least 60 of its FY2021 earnings beat seems attributable to Weineng
1541792611605831682,2022-06-28 14:36:18+00:00,30,2,While this rapid growth is impressive on the surface our investigation has found Weineng might be to NIO what Philidor was to Valeant Just as Philidor aided Valeant in habitually making numbers NIO has curiously exceeded estimates since establishing Weineng
1541792549697986560,2022-06-28 14:36:03+00:00,28,1,Despite being formed by NIO and a consortium of investors in late 2020 this unconsolidated related party has already generated billions in revenue for NIO
1541792504886005760,2022-06-28 14:35:52+00:00,36,2,Allow us to introduce you to Wuhan Weineng Weineng the convenient difference maker helping NIO exceed lofty growth and profitability estimates on The Street
1541792446442618880,2022-06-28 14:35:39+00:00,53,8,Today we reveal what we consider an audacious scheme by NYSE listed NIO Reminiscent of the Philidor Valeant relationship NIO is likely using an unconsolidated related party to exaggerate revenue and profitability
1541792395448180737,2022-06-28 14:35:26+00:00,546,158,We believe NIO Plays Valeant esque Accounting Games to Inflate Revenue and Boost Net Income Margins to Meet Targets Read our new critical report here
1508811769975918605,2022-03-29 14:22:12+00:00,7,0,Best case scenario in which EMO wins the Aznalc llar mine it must then incur significant toxic financing This will be hugely dilutive to current shareholders Ultimately we see a bad outcome for public shareholders and caution that risks in EMO seem not well understood
1508811686886752267,2022-03-29 14:21:53+00:00,4,1,We believe EMO will not win the Aznalc llar Appeal regardless of the legal outcome of the other party due to a lack of resources that disqualified them initially which continues to plague the company Management conveniently fails to address this among other key risks
1508811634273361920,2022-03-29 14:21:40+00:00,3,0,We reveal EMO 's reputation in Spain Local news articles expose a company with no financing no expertise limited track record and a tendency to over pitch and underachieve
1508810689460285441,2022-03-29 14:17:55+00:00,4,0,EMO 's Spanish lawyer was previously arrested and sentenced for illegal interference Current EMO Management stems from Stan Bharti's web of associates We believe that this is just another Stan Bharti pump and dump game as it has happened countless times in the past
1508810535244075010,2022-03-29 14:17:18+00:00,3,0,We see a pattern of false claims and wild promises which fail to deliver on substantially every front For example EMO failed to pay a 13k euro deposit for the Sierra Alta mine thereby losing rights to the project Perhaps EMO is not interested in real production
1508810460946214921,2022-03-29 14:17:00+00:00,3,0,Our Spanish investigator uncovered government emails that outlined that EMO was banned from one Spanish region from submitting offers for mines due to reckless behavior and countless breaches Does this tie their hands for the rest of their Spanish projects
1508810379618656268,2022-03-29 14:16:41+00:00,6,0,We analyzed all of EMO 's projects and NONE have EVER succeeded Management had delivered on 0 out of 10 projects we believe the Aznalc llar mine will be the same We expose what we see as a bait and switch scheme
1508810285930401797,2022-03-29 14:16:19+00:00,2,0,Recent developments at IBW Aznalc llar are fueling EMO s recent stock run The company is teasing that they will win the rights to Aznalc llar mine and that IBW s high quality assets will provide investors great returns However we believe that neither will come to fruition
1508810214761545742,2022-03-29 14:16:02+00:00,2,0,Bharti was previously sued for extracting money from companies that he was involved in and allegedly ripping off other investors
1508810170679406601,2022-03-29 14:15:51+00:00,9,0,Stan Bharti is in our view an infamous stock promoter involved in many notorious firms including Brazilian Potash Flora Growth LLC that on average declined by over 80 EMO EMO V EMO TSXV EMO CA
1508810066845126657,2022-03-29 14:15:26+00:00,92,22,Emerita Resources Corp EMO V is a Stan Bharti related mining company whose stock has risen over 2000 over the last year But we believe it is a bait and switch theme and the company will not win the Aznalcollar mine Read our new critical report here
1499492120641642503,2022-03-03 21:09:15+00:00,18,2,New lows for TSP today after CEO and Chairman announced their departure decided to buy millions of shares shortly after our critical report Let's wait and see how this plays out
1489260635258974210,2022-02-03 15:32:59+00:00,6,0,In summary we believe PLTK s short termism comes at the expense of lasting shareholder and business value Looming regulatory risks and an aggressive monetization strategy make the business unsustainable We see over 40 downside in the stock in the short to medium term
1489260569764851713,2022-02-03 15:32:43+00:00,6,0,20 of PLTK shares are pledged by insiders in China to Chinese banks which creates a potential overhang on the stock and adds an additional layer of risk for US shareholders This share pledge is hidden from US investors through a holding structure
1489260502123384845,2022-02-03 15:32:27+00:00,2,0,PLTK in our opinion is a quintessential example of a pattern we frequently see in today s market environment Chinese insiders bring their companies public in the US when faced with regulatory changes which invalidates their business Chinese education companies etc
1489260394891730945,2022-02-03 15:32:01+00:00,3,0,Chinese regulators denied PLTK access to its A Share market four times seemingly because it considers PLTK s business partly illegal gambling
1489260328105897993,2022-02-03 15:31:45+00:00,4,1,Our research indicates that regulatory risk is on the horizon for PLTK The state of Washington already charged PLTK with a 38million fine and we believe many other states are to follow as numerous petitions against PLTK games garner attention
1489260260237844484,2022-02-03 15:31:29+00:00,4,1,PLTK employs an aggressive roll up strategy This aggressive roll up strategy creates the illusion of growth while masking the underlying decline of PLTK s legacy games
1489260179803676675,2022-02-03 15:31:10+00:00,4,1,PLTK seems like a low quality business with a huge regulatory risk that we believe will materialize soon The company s focus on online casino games and aggressive monetization is not viewed kindly by regulators and the player base
1489260094978093057,2022-02-03 15:30:50+00:00,5,1,Just recently PLTK s largest shareholder announced another potential sale of 1 2 billion worth of shares 15 25 of total shares outstanding
1489260037587361794,2022-02-03 15:30:36+00:00,7,0,Additionally the initial public offering did not raise much proceeds for PLTK but instead allowed former shareholders to unload their shares to the public We dug deeper into the company to determine why insiders seem so desperate to cash out
1489259983648616449,2022-02-03 15:30:23+00:00,6,0,Our research indicates that the company was recklessly stripped of its cash and loaded with debt just prior to its initial public offering PLTK is basically the only major mobile gaming company with a huge debt balance
1489259922428596232,2022-02-03 15:30:09+00:00,79,18,We believe Playtika Holding Corp NASDAQ PLTK is a low quality immoral online gaming company that Chinese insiders are selling at an overpriced valuation to US investors while failing to disclose major risks Read our new report here
1487845916883435520,2022-01-30 17:51:24+00:00,2,0,Capital Wild month ahead buddy Stay tuned for next week and the biggest one yet end of the month
1480258927661047813,2022-01-09 19:23:24+00:00,83,3,We are thankful for our incredible team that works hard to bust frauds and our many friends in the industry Short activism is a force for good and most participants are aware of the responsibility we have and act accordingly Best of luck to all but the fraudsters in 2022
1480258770882203652,2022-01-09 19:22:47+00:00,39,1,Going into 2022 we are thankful for our over 20 000 followers and subscribers We do not tweet a lot and it is good to know that so many people care about in depth critical content We will work hard to bring you the highest quality research reports on big stocks in 2022
1480258629790015493,2022-01-09 19:22:13+00:00,36,1,We don t always get it right mostly timing imho but most of the time Great short and more data is available via
1466430011582435343,2021-12-02 15:32:14+00:00,16,3,In summary we believe SOL is a fraudulent company that drastically overrepresents its project pipeline to access the US capital markets SOL is led by what we believe to be a fraudulent team whose legal difficulties will ultimately also cause problems for SOL shareholders
1466429943538139139,2021-12-02 15:31:58+00:00,8,0,We believe that the legal difficulties of SOL biggest shareholder will cause significant issues for shareholders at some point in the future SOL
1466429854488932360,2021-12-02 15:31:36+00:00,3,0,SOL spun off several entities to Li in 2017 these entities are now in substantial legal trouble Judgments in China against Li and related entities amount to over 1 billion RMB These are real judgments that authorities will pursue and collect on
1466429800936054791,2021-12-02 15:31:24+00:00,3,0,Former chairman Xianshou Li remains SOL biggest shareholder but is officially not engaged in management Our research indicates that Li secretly still exercises substantial control over SOL
1466429753351720974,2021-12-02 15:31:12+00:00,5,0,We believe SOL has terrible corporate governance as evidenced by a seemingly relative of former Chairman Xianshou Li serving on SOL board of directors while being in her 20s and having very limited experience that could justify such a position
