id,created_at,favorite_count,retweet_count,text
1604594260761788416,2022-12-18 21:47:38+00:00,263,27,Elon and Jared earlier today
1604593722850689024,2022-12-18 21:45:30+00:00,2,0,PowerMode They are are referring to developed world government bonds
1604593509448781824,2022-12-18 21:44:39+00:00,79,4,The group on the wrong side of the biggest rally in 5 000 years is now betting on a bond rally I m suggesting a textbook contrarian call
1604591298136129540,2022-12-18 21:35:51+00:00,105,7,4 4 These funds managers think a recession will cause the Fed will pivot bonds will soar and liquidity junkie markets will celebrate cheap money over the concern of declining economic activity You have now been warned and have no one to blame but yourself
1604591296462602241,2022-12-18 21:35:51+00:00,63,4,3 4 They also think Govt bonds will be the best performing asset in 2023 top panel previous tweet even better than stocks Why These fund managers expect a recession in 2023
1604591294831116288,2022-12-18 21:35:51+00:00,63,6,2 4 The Dec BofA fund manager survey shows they are now OVERweight bonds for the first time since 09 Restated every minute of the best decade since 3 000 BC to own bonds fund managers were UNDERweight Arguably the worst investment call in the history of organized society
1604591292821929984,2022-12-18 21:35:50+00:00,156,28,1 4 Between 2009 and 2022 central banks QE d markets higher Central Banks so distorted markets that there were 17T negative by 2019 A consequence of this was 2010 to 2020 was the best TOTAL RETURN decade in 5 000 years per this book
1604584316540944385,2022-12-18 21:08:07+00:00,0,0,they re not dead they re resting
1604582643324026880,2022-12-18 21:01:28+00:00,112,5,22 22 This idea that the economy weakens the Fed pivots and markets soar works with inflation of 2 forever 09 to 21 But if inflation is gt 2 forward the worst thing that can happen is the economy weakens enough for the Fed to pivot
1604582641516290052,2022-12-18 21:01:28+00:00,91,3,21 22 Or what was the most successful investing style between 2009 and 2021 Buy broad based equity ETFs and whine that the Fed is not doing enough to make you rich Not only did everyone think this most still believe this
1604582639406616579,2022-12-18 21:01:27+00:00,136,11,20 22 This is what 15 years of QE negative interest rates forward guidance and Fed puts have done The market is all about liquidity It is a junkie for liquidity It is all that matters
1604582637313589250,2022-12-18 21:01:27+00:00,54,2,19 22 Because if your stocks perform by delivering earnings and have to hire more people and God forbid see enough demand for their product that they have to RAISE prices your reward is another wipeout in stock prices as the Fed never pivots
1604582635321364481,2022-12-18 21:01:26+00:00,48,0,18 22 So here we are in 2022 Use all your skill to pick good stocks and hope they lose money and fire people aka a recession Then you will be rewarded with higher stock prices as the Fed pivots
1604582633115189251,2022-12-18 21:01:26+00:00,53,4,17 22 Not to mention paying almost 17x for 2 year out earnings or gt 15x for 3 year out earnings This is very expensive UNLESS discount rates start falling because inflation is returning to 2 forever Not so as a reaction to heading into a recession
1604582630606876672,2022-12-18 21:01:25+00:00,60,5,15 22 So rates have yet to peak How about stocks If rates are going higher then the discount rates used in valuation are also going higher Then paying over 18x for next year s earnings with higher discount rates looks awfully expensive
1604582627549274112,2022-12-18 21:01:24+00:00,57,3,14 22 How about long rates 10 year yield If the economy is not falling apart the curve inversion will stall This should drag the 10 year yield higher green The curve blue already at a 41 year extreme should stay within 100 bps if it even gets that extreme
1604582624781017089,2022-12-18 21:01:24+00:00,66,7,13 22 Short rates the 2 year yield did not peak at 4 72 on Nov 7 Rate hike cycles ended with the 2 year yield ABOVE the terminal peak funds rate If the Fed goes to 5 5 25 history says the 2 year yield peaks above the terminal rate or at least 5 25
1604582622444883970,2022-12-18 21:01:23+00:00,40,0,12 22 So if the pattern continues that Wall Street is too pessimistic or too impatient on their pessimism and does not get its pivot because the economy does not IMMEDIATELY fall apart what does it mean for markets
1604582619882176512,2022-12-18 21:01:22+00:00,52,0,11 22 Instead they are doubling down that jobs are falling apart Their latest rationalization is a big downward revision to Q2 2022 job growth Even if true these revisions are due in Feb 2024 14 months So don t hold your breath
1604582614240821253,2022-12-18 21:01:21+00:00,66,1,10 22 And the payrolls beating 8 times in a row has a record streak and should tell Wall Street something is amiss they are getting the jobs market wrong
1604582611460001794,2022-12-18 21:01:20+00:00,60,0,9 22 So these are the battle lines Who will win Wall Street has been losing to the Fed all year by insisting the Fed would pause then pivot Wall Street has been bearish on jobs Instead payrolls have beaten 11 of the last 12 months including 8 in a row rectangle
1604582608666382336,2022-12-18 21:01:20+00:00,66,4,8 22 And year over year wage growth orange bottom panel is holding around 5 Simply if everyone gets 5 pay raises they can afford 5 inflation 5 inflation is unacceptable
1604582605839822848,2022-12-18 21:01:19+00:00,61,4,7 22 There are 1 7 open jobs for every unemployed person bottom panel
1604582602056388608,2022-12-18 21:01:18+00:00,74,6,6 22 So what does the Fed see causing the fund s rate to stay at 5 125 next year Start with the labor market The simple truth is the jobs market is NOT weakening And the Fed is not changing unless it shows UNMISTAKABLE signs of weakening Initial claims are NOT rising
1604582598919192576,2022-12-18 21:01:17+00:00,66,4,5 22 Additionally economists see the unemployment rate for year end 2023 will now be 4 5 Oct and Nov surveys Note that in May gold line they had it at 3 6 This is a big rise and such an increase only occurs in recessions
1604582595907518465,2022-12-18 21:01:17+00:00,69,6,4 22 And before you conclude that the 63 of ECONOMISTS predicting a recession doesn t count note that the BofA s December Global Fund Managers survey in which 300 FUND MANAGERS participated had nearly an identical response at 68
1604582593021755394,2022-12-18 21:01:16+00:00,65,3,3 22 A similar monthly survey conducted by Bloomberg of about 70 economists shows the probability of a recession is even higher at 63 This survey began in 2008 and the only time it was higher was when the US economy was actually in recession in 2020
1604582590249422849,2022-12-18 21:01:15+00:00,111,8,2 22 So why does the market think the Fed will do much less The latest Philadelphia Federal Reserve quarterly survey of professional forecasters shows the probability of a recession in the next year is the highest in the 50 years this survey has been conducted
1604582587657293830,2022-12-18 21:01:15+00:00,928,247,1 22 As this chart shows there is a big difference between what the market and the Fed think And this divergence will define the first part of 2023 trading A to explain
