id,created_at,favorite_count,retweet_count,text
1604869400707960835,2022-12-19 16:00:56+00:00,31,7,earnings after the close today and before the open tomorrow HEI GIS SCS FCEL ISPO FDS EMBC CGNT
1604821654617886720,2022-12-19 12:51:13+00:00,37,10,Investor sentiment remains below its August levels as a whole SPY SPX but not for Consumer Staples XLP with GIS reporting earnings before the open tomorrow
1604499536935804928,2022-12-18 15:31:14+00:00,0,0,just something for the kids
1604496317312442369,2022-12-18 15:18:26+00:00,80,12,The week ahead
1604097909691224065,2022-12-17 12:55:19+00:00,352,155,earnings for the week NKE FDX GIS CCL MU RAD FCEL KMX FDS TTC BB PAYX CTAS HEI SCS AIR EMBC APOG CAMP CGNT CVGW QIPT EPAC BLIN EMKR WOR AVO ISPO LMNR MLKN JOB VVOS KNW
1603424522765754368,2022-12-15 16:19:31+00:00,39,7,earnings to end the week ADBE ACN NX DRI WGO
1603408596263477248,2022-12-15 15:16:13+00:00,0,0,trader90 The point is that when Tech rallies it unwinds the long Energy short Tech trade which has been among the best trades of 2022 so you can t buy Energy while Tech is rallying
1603406792813416448,2022-12-15 15:09:03+00:00,89,19,ARKK buyers at 35
1603056201041952771,2022-12-14 15:55:56+00:00,50,12,earnings after the close today and before the open tomorrow LEN JBL TCOM NDSN CLSK RICK PL LIVE TRIB IPA
1603051880187297795,2022-12-14 15:38:46+00:00,34,2,How to be long Energy XLE while Tech XLK is rallying in the current environment
1602815490065309696,2022-12-13 23:59:26+00:00,0,0,
1602791353104191498,2022-12-13 22:23:31+00:00,0,0,
1602680142194778112,2022-12-13 15:01:36+00:00,2,0,we made it on Saturday
1602679190561722371,2022-12-13 14:57:50+00:00,0,0,it s there It s fillable Might take awhile though and another earnings release Statistically the stock should show relative strength up until it s next earnings release Technically our trade was the 331 gap fill The next gap is still 50 away
1602675745305903109,2022-12-13 14:44:08+00:00,47,6,NFLX gap has been filled You can go home now
1602675025357725696,2022-12-13 14:41:16+00:00,32,4,upcoming earnings STNG PHX ABM WEBR REVG BRZE ASPU ARQQ LPTV
1602550351198044161,2022-12-13 06:25:52+00:00,57,7,it is interesting that the leaders are the most hated XLE XOM CVX SLB COP
1602437493701361669,2022-12-12 22:57:25+00:00,0,0,Sorry just double checked this We moved to primarily trading long after earnings at the end of February but we had a couple of more shorts in May
1602436128921247745,2022-12-12 22:51:59+00:00,0,0,Good luck If you ll recall from when you subscribed we trade after earnings based on overall conditions amp w market sentiment so low we are not currently shorting after earnings In fact with the exception of AAPL and MSFT in the Spring those results are all long trades
1602431585143373825,2022-12-12 22:33:56+00:00,0,0,Our after the news trade results in 2022 are up 55 while the S amp P 500 is down 17 and this doesn t include DOCU and AVGO which were closed today
1602430440614379521,2022-12-12 22:29:23+00:00,1,0,The beat the consensus estimate They missed the Earnings Whisper The grades are low because they all reported weak earnings ORCL may be the exception but they still missed while expectations were at a multi year high Probably shouldn t chase the move higher after hours
1602426205025828865,2022-12-12 22:12:33+00:00,0,0,Granted this is a small sample companies reported after the close today but who do you have that is more accurate
1602378212088205315,2022-12-12 19:01:51+00:00,47,15,earnings after the close today and before the open tomorrow ORCL PLAB CNM FLNC JOAN BLBD MMMB APDN VNCE MESA
1601957908924751872,2022-12-11 15:11:43+00:00,82,10,A preview for the week of December 12 2022
1601565806042959872,2022-12-10 13:13:38+00:00,17,1,JBL DRI CNM LEN
1601565659569455105,2022-12-10 13:13:03+00:00,19,2,ORCL ADBE COUP ACN
1601565431520964608,2022-12-10 13:12:09+00:00,261,145,earnings for the week ORCL ADBE COUP UTI ACN JBL DLNG PLAB DRI CNM LEN FLNC PHX BLBD JOAN NOTV MMMB WEBR MESA APDN REVG WGO BRZE ABM RICK TCOM CLSK ASPU STNG VNCE PL NDSN NX ARQQ IPA LPTV LIVE
1601300638087802881,2022-12-09 19:39:57+00:00,19,3,UTI and DLNG are scheduled to report earnings before the open on Monday
1600885956869033985,2022-12-08 16:12:09+00:00,61,18,earnings to end the week COST LI LULU DOCU AVGO CHWY RH MANU DOMO MTN COO PHR CURV CMTL LAKE
1600867617102872576,2022-12-08 14:59:17+00:00,5,1,
1600866380705775618,2022-12-08 14:54:22+00:00,11,1,BILI
1600848469551648774,2022-12-08 13:43:12+00:00,70,9,Just think how much money everyone is going to make once SPY falls below 390
1600603027290947586,2022-12-07 21:27:54+00:00,104,5,DJIA was up 1 58 0 00 We know what you are thinking
1600501370108448778,2022-12-07 14:43:57+00:00,47,12,upcoming earnings GME AI EXPR CIEN GMS GEF MOMO RENT KFY VRNT OXM LQDT SPWH HCP DSGX HOV NAPA CULP
1600454755741933568,2022-12-07 11:38:43+00:00,30,5,First time giving guidance since 2014 and THO gives us a buck thirty range
1600150475235467264,2022-12-06 15:29:37+00:00,48,20,earnings after the close today and before the open tomorrow MDB ASO PLAY CPB S LOVE CASY OLLI SWBI TOL UNFI HQY SFIX THO GWRE VRA AVAV ZUO CXM BF B CDMO WLY SKIL ZFOX
1600142628812599296,2022-12-06 14:58:26+00:00,42,10,It s like d j vu all over again
1599813076143853569,2022-12-05 17:08:55+00:00,56,15,upcoming earnings AZO GTLB SIG HEPS BASE CONN SUMO FERG JILL WDH ALCO LILM KVHI
1599749207875031040,2022-12-05 12:55:07+00:00,2,1,Come Check This by FETISH good luck
1599428026550595584,2022-12-04 15:38:52+00:00,99,14,Preview of the week ahead
1599094164649451520,2022-12-03 17:32:13+00:00,1,1,Companies report earnings throughout the quarter but earnings season is about a four week period it varies shortly after the calendar quarter ends when the majority of companies report results You can generally think of it as the period between JPM s earnings and CSCO s
1599043785245093888,2022-12-03 14:12:01+00:00,24,6,Charts for AVGO SAIC MDB GME
1599043196621058048,2022-12-03 14:09:41+00:00,34,5,Charts for COST AZO LULU DOCU
1599041897997119488,2022-12-03 14:04:31+00:00,364,193,earnings for the week COST AZO LULU DOCU GME VERU MDB SAIC DLHC AVGO CHWY S SIG GTLB LI PLAY ASO RH SWBI HEPS CASY LOVE BASE ICCM CPB EXPR CONN CIEN OLLI AI SUMO RGCO DOMO HGY UNFI SFIX GWRE JILL VRA MANU GEF
1598772512086757390,2022-12-02 20:14:05+00:00,41,12,Monday morning earnings VERU SAIC DLHC ICCM RGCO
1598770627241918464,2022-12-02 20:06:35+00:00,51,3,Unch Thanks for playing
1598670389940559872,2022-12-02 13:28:17+00:00,19,2,AEM is up 27 but little suggests the move is over yet
1598432349343064092,2022-12-01 21:42:24+00:00,1,1,htx Yet it is still so hated
1598429411535392768,2022-12-01 21:30:43+00:00,7,2,probably not from ZUMZ though
1598374539972354048,2022-12-01 17:52:41+00:00,62,20,upcoming earnings ULTA CHPT MRVL ZS CBRL ASAN PATH VEEV AMBA SMAR PD EH SOL GCO AOUT TLYS ZUMZ ARCE CLIR IOT
1598374465259425792,2022-12-01 17:52:23+00:00,1,1,Toro Diablo That s what our website is for
1598328775300743169,2022-12-01 14:50:50+00:00,22,1,So for everyone that has asked how to read our charts these stocks are down an average of 8 5 in early trading today BIG TD BMO CM DLTH LE SCWX trendisyourfriend
1598321807672705029,2022-12-01 14:23:08+00:00,22,1,FIVE failed to go to new lows on weak results last Q while short interest was high Now it is gapping higher 10 on earnings which has generally been overexcitement that takes a week to work off before closing higher on the month 73 of the time
1598173486614474752,2022-12-01 04:33:46+00:00,54,10,maybe just maybe you are getting clothes for Christmas this year ANF AKA AEO ROST URBN
1598043092288176130,2022-11-30 19:55:38+00:00,6,1,Toro Diablo We aren t Sounds like you don t understand what we do
1597995286454239232,2022-11-30 16:45:40+00:00,19,2,FYI you might get lucky buying BIG TD BMO CM DLTH LE or SCWX ahead of earnings but both the fundamental and price trends are down for these and most of the time such trends will continue against you Stick with strength
1597993843030642689,2022-11-30 16:39:56+00:00,48,18,earnings before the open tomorrow DG KR BIG TD BMO DBI CM DLTH LE PDCO MEI SCWX BQ REX GIII
1597964135463276544,2022-11-30 14:41:53+00:00,60,25,earnings after the close SNOW CRM SPLK OKTA FIVE PSTG BOX SNPS VSCO ESTC NTNX NCNO PVH LZB OOMA SMTC ASYS GNSS YEXT CRDO
1597708919056773121,2022-11-29 21:47:44+00:00,3,1,There aren t a lot of examples so far but CRWD has continued lower 75 of the time from its open until a week later with an average decline of 5 2 FWIW
1597642375370637312,2022-11-29 17:23:19+00:00,4,1,can t just be
1597641154170097664,2022-11-29 17:18:28+00:00,82,12,Gotta say it is impressive how you keep buying ARKK at 35
1597613613480833027,2022-11-29 15:29:02+00:00,32,9,It is interesting how little interest there is in TITN and DCI ahead of earnings XLI industrial
1597609736555626496,2022-11-29 15:13:38+00:00,66,14,upcoming earnings CRWD INTU WDAY XPEV WOOF HPE FRO DOOO HRL NTAP GNS BBW NAT RY TITN RNLX LESL CMP CANG STIX and DCI KNOP BEKE ZH SFL
1597260393990479872,2022-11-28 16:05:28+00:00,56,20,earnings after the close today and before the open tomorrow BILI BNS HIBB SJR CTRN ARWR BZUN SFET ESLT AZEK CRNC YTRA YY BZ
1597214384711143425,2022-11-28 13:02:38+00:00,82,20,Earnings season is over If you were short anything chances are you were wrong because most were short just about everything going into earnings BLK LRCX ETSY UHS UAA ISRG FCX WBA AMD GS RL NFLX IPG BKR EFX BA UAL AOS MCHP VTR
1596506662688342016,2022-11-26 14:10:24+00:00,466,205,earnings for the week PDD CRWD SNOW CRM DG KR XPEV CHPT ULTA HTHT MRVL INTU WDAY BILI WOOF GNS SPLK BIG FRO OKTA AVXL HIBB BNS ZS HPE HRL PSTG DOOO RNLX BBW SJR FIVE TITN TD ARWR NTAP SNPS BMO VSCO BOX RY VEEV
1596159785040502785,2022-11-25 15:12:02+00:00,54,16,Monday morning earnings PDD HTHT AVXL HTOO
1595436350974660610,2022-11-23 15:17:22+00:00,35,11,A couple more earnings this week LU BMA
1595285521726689286,2022-11-23 05:18:02+00:00,91,15,What s the opposite of catching a falling knife Asking for a friend SPX SPY VIX
1595147464516173824,2022-11-22 20:09:26+00:00,29,4,BP oops
1595101634023100420,2022-11-22 17:07:19+00:00,42,9,pre holiday earnings DE JWN ADSK HPQ GES KC BBAR VNET
1595084584475148290,2022-11-22 15:59:34+00:00,21,2,AEM is up 20 since short sellers jumped in but they aren t gone yet and there s room to go
1594773257869266955,2022-11-21 19:22:28+00:00,70,25,earnings before the open tomorrow DLTR BBY DKS BIDU CSIQ ADI BURL ADT JACK ANF AEO VIPS CHS AMWD DY IQ WMG MOV CD CAL TNP ROAD IMBI KMDA YSG CNF NM SGHC TDCX
1594752231458623490,2022-11-21 17:58:55+00:00,54,20,earnings after the close ZM DELL A URBN ZTO GDS AFYA NOAH GBDC API SNEX MMS SYM RVYL ERYP FANH ENTA CENT
1593974654737285121,2022-11-19 14:29:06+00:00,284,141,earnings for the week BBY FUTU NIU DLTR ZM SJM DKS DE BIDU J DELL DOYU CSIQ ITRN ADI PGRU MDT A BURL ADSK ANF JACK URBN JWN ASEO HPQ VIPS ZTO AMWD CHS DY WMG GDS MOV IQ TNP NOAH CAL AFYA CD KC ROAD RVYL FANH
1593691490961735684,2022-11-18 19:43:55+00:00,60,13,Monday morning earnings FUTU NIU SJM DOYU J PGRU
1593353513626750977,2022-11-17 21:20:55+00:00,0,1,not bad eh
1593309002875736070,2022-11-17 18:24:03+00:00,0,1,SGML hasn t scheduled earnings yet so that s just an estimate
1593296343421911042,2022-11-17 17:33:44+00:00,44,13,Friday morning earnings JD FL TWST BKE SPB
1593279967571443715,2022-11-17 16:28:40+00:00,69,25,earnings after the close PANW AMAT GPS ROST WSM STNE FTCH CLFD KEYS GAMB GLOB WWD DADA POST HAYN AMSWA DLB BRBR ESE MATW UGI DLA NGVC
1593246996642816001,2022-11-17 14:17:39+00:00,38,7,Just trade these lines for CSCO and M but with a long bias
1593008125275406337,2022-11-16 22:28:28+00:00,1,1,We posted adjusted EPS The revenue is in the link
1592996589684940800,2022-11-16 21:42:38+00:00,2,1,traders NVDA has opened higher 60 of the time when it provided guidance in line with consensus estimates
1592993784316702720,2022-11-16 21:31:29+00:00,2,1,This is basically in line with expectations as we discussed on Monday at We need to see where it opens tomorrow if it sets up for our trade scenario though
