id,created_at,favorite_count,retweet_count,text
1604843422229139456,2022-12-19 14:17:43+00:00,0,0,I mostly stick to daily but go lower if volatility increases
1604824077767626752,2022-12-19 13:00:50+00:00,5,0,Multiple
1604822018267828225,2022-12-19 12:52:39+00:00,21,1,How many timeframes do you review when preparing a trade
1604821173170311172,2022-12-19 12:49:18+00:00,0,0,rrobbins Thank you
1604496485017686018,2022-12-18 15:19:06+00:00,0,0,Lol
1604474830249758722,2022-12-18 13:53:03+00:00,70,5,Do you trade your last mistake or start fresh with each new trade
1604188132638875651,2022-12-17 18:53:49+00:00,0,0,There is a difference between greed and money management rules that keep you in a position and protect profits
1604110982531497991,2022-12-17 13:47:15+00:00,2,0,buck Reduce size Back test your strategy
1604110108174295042,2022-12-17 13:43:47+00:00,0,0,buck What are you scared of
1604108641413595136,2022-12-17 13:37:57+00:00,0,0,buck Is the analysis paralysis a way to avoid trading or a reflection of not having a strategy
1604104358119051264,2022-12-17 13:20:56+00:00,102,5,If you are going to allow FEAR to impact your trading make sure it is the FEAR of GREED that you focus on
1604104148701552642,2022-12-17 13:20:06+00:00,0,0,mantra oswal Thank you
1604104030183395328,2022-12-17 13:19:38+00:00,0,0,mantra Thank you
1603929822962524161,2022-12-17 01:47:24+00:00,2,0,Vinny Thank you for including me HAGW
1603867305011732481,2022-12-16 21:38:58+00:00,1,0,puru Thank you so much Scott I hope you had a great week
1603812698172669972,2022-12-16 18:01:59+00:00,5,0,Just found out is having a great Winter Sale Great time to give it a try Use this link to access the promo
1603734650802798593,2022-12-16 12:51:51+00:00,95,11,Every trade holds a new lesson or a reminder of lessons learned
1603377105257086976,2022-12-15 13:11:05+00:00,136,19,A trader can always change their mind and be right now You don t need to hold a position and hope you will be right eventually
1603189562700095488,2022-12-15 00:45:52+00:00,2,0,What about bad luck
1603188426555228160,2022-12-15 00:41:21+00:00,2,0,Sometimes it s just luck
1603188316160987136,2022-12-15 00:40:55+00:00,1,0,buck Sometimes it s just luck
1602997475270619137,2022-12-14 12:02:35+00:00,41,4,When you think back to your most profitable trading day ever what percent do you attribute to luck versus skill
1602770765740392448,2022-12-13 21:01:43+00:00,16,0,Lane BBM The more times the better Just think how great the move will be once this is over
1602760397894963201,2022-12-13 20:20:31+00:00,0,0,DT7 Teo Theory Thank you
1602639286616330241,2022-12-13 12:19:16+00:00,172,29,Many new traders struggle not because trading is hard but because they came to trading believing it was easy
1602637750112493569,2022-12-13 12:13:09+00:00,1,0,For sure
1602637409069535232,2022-12-13 12:11:48+00:00,2,0,second Yes
1602370353745072160,2022-12-12 18:30:37+00:00,1,0,Why
1602346206423879683,2022-12-12 16:54:40+00:00,1,0,All the above
