id,created_at,favorite_count,retweet_count,url,text
1612172592038965250,2023-01-08 19:41:13+00:00,35,10,https://twitter.com/i/web/status/1612172592038965250,Success is your responsibility being average is the enemy Motivation
1609302545088008192,2022-12-31 21:36:40+00:00,86,4,https://twitter.com/i/web/status/1609302545088008192,I love when trolls comment daddys money This is just supporting the case that being a broke bum runs in the family for them Am I wrong HappyNewYear Welcome2023 funny
1608296409652170752,2022-12-29 02:58:39+00:00,86,16,https://twitter.com/i/web/status/1608296409652170752,AN INCH OF MOVEMENT IS BETTER THAN A MILE OF INTENTIONS NoExcuses
1606423572754608130,2022-12-23 22:56:40+00:00,145,14,https://twitter.com/i/web/status/1606423572754608130,Tesla stock at 122 a share Apple at 130 AMZN at 85 Excited to start buying into my long term portfolio I would rather buy small portions versus nothing at all invest longterm future 2023
1605246623004512256,2022-12-20 16:59:53+00:00,52,2,https://twitter.com/i/web/status/1605246623004512256,Messi breaks another world record for the most likes 63 million amp counting goat egg
1605238017966239749,2022-12-20 16:25:42+00:00,24,4,https://twitter.com/i/web/status/1605238017966239749,Devotion inspires bravery bravery inspires sacrifice sacrifice leads to change MotivationalQuotes
1605039695972352000,2022-12-20 03:17:38+00:00,84,13,https://twitter.com/i/web/status/1605039695972352000,Failure is simply the opportunity to begin again this time more intelligently forwardthinking mindset Motivationalquote
1604300308393312257,2022-12-18 02:19:34+00:00,45,7,https://twitter.com/i/web/status/1604300308393312257,The more you shine the more shadows you cast success Motivation mindset
1603887778017579008,2022-12-16 23:00:19+00:00,62,4,https://twitter.com/i/web/status/1603887778017579008,In health wealth and love I learn great habits from those around Show me your friends and Ill show you your future Embrace those you value success love wealth
1603856475654619138,2022-12-16 20:55:56+00:00,66,9,https://twitter.com/i/web/status/1603856475654619138,Beginners should be encouraged to trade small You will make a lot of mistakes therefore youll lose small I would rather be in a position to test amp practice versus scared to trade because its too much money Keep it simple beginners
1602660144982249472,2022-12-13 13:42:09+00:00,49,7,https://twitter.com/i/web/status/1602660144982249472,cpidata report came in at 71 which is lower than expected and great news for the bulls Will the FederalReserve confirm a 5 hike tomorrow We shall see
1601390430410899461,2022-12-10 01:36:45+00:00,69,8,https://twitter.com/i/web/status/1601390430410899461,You say you want change but you want change to happen to you youre entitled minset
1600544304593719296,2022-12-07 17:34:33+00:00,49,5,https://twitter.com/i/web/status/1600544304593719296,We cannot solve our problems with the same thinking we used when we create them Einstein mindset
1600542569078804480,2022-12-07 17:27:39+00:00,56,3,https://twitter.com/i/web/status/1600542569078804480,No position is better than a red position Learn to stay cash daytrading
1599982312040542209,2022-12-06 04:21:24+00:00,46,7,https://twitter.com/i/web/status/1599982312040542209,December 13th is the next cpi data report aka inflation report Will we come in lower to support a lower rate hike Now is the time to prepare Mark your calendars cpi inflation stockmarket FederalReserve
1597796205215436801,2022-11-30 03:34:35+00:00,39,7,https://twitter.com/i/web/status/1597796205215436801,Roger Bannister broke the 4 minute mile in 1954 and just 46 days later his time was beat Now 1600 runners have beat 4 minutes Everything seems impossible until it isnt motivation mindset success
1597296093179830272,2022-11-28 18:27:19+00:00,72,3,https://twitter.com/i/web/status/1597296093179830272,Trading is very challenging Challenges are what make life interesting and overcoming them is what makes life meaningful mindset success hustle
1596947991151071232,2022-11-27 19:24:05+00:00,92,8,https://twitter.com/i/web/status/1596947991151071232,We all have that one friend that supports us for every risk we take Appreciate them Grateful
1596666347349364736,2022-11-27 00:44:56+00:00,79,17,https://twitter.com/i/web/status/1596666347349364736,Everything you want is on the other side of fear mindset fear hustle motivation
1596230459263852544,2022-11-25 19:52:52+00:00,74,3,https://twitter.com/i/web/status/1596230459263852544,If were friends and you have a small business send it to me I would love to support you BlackFriday smallbusiness
1594802149711499264,2022-11-21 21:17:17+00:00,78,4,https://twitter.com/i/web/status/1594802149711499264,Elon musk has lost tesla 180 billion in market cap value since buying TwitterTakeover its rough but I still believe Elon will succeed against all odds goat success elon ironman
1592932599160504320,2022-11-16 17:28:21+00:00,117,13,https://twitter.com/i/web/status/1592932599160504320,I always feel more in control when I sell early to manage my position size versus holding and hoping it plays out in my favor Build healthy habits trading stockmarket investing
1592588087871541248,2022-11-15 18:39:23+00:00,56,6,https://twitter.com/i/web/status/1592588087871541248,Two dead after Russian missile hits NATO territory in Poland poland nato ww3 Russia
1592587085004697600,2022-11-15 18:35:24+00:00,36,1,https://twitter.com/i/web/status/1592587085004697600,blockfi is preparing to file for bankruptcy after ftx downfall Only the beginning Shorting the NASDAQ100
1591073606184112129,2022-11-11 14:21:23+00:00,32,6,https://twitter.com/i/web/status/1591073606184112129,FTX just filed for chapter 11 bankruptcy Be ready for a redfriday stocks crypto market nasdaq Leaked
1590925007701803008,2022-11-11 04:30:54+00:00,23,1,https://twitter.com/i/web/status/1590925007701803008,Will Bitcoin crash and go under 10000 Huge institutions are invested this time This will ruin heavily leveraged investors Leverage is super power in bull markets its deadly during bear markets riskmanagement Binance ftx crypto crash
1590810463893618688,2022-11-10 20:55:45+00:00,63,3,https://twitter.com/i/web/status/1590810463893618688,Single largest gain for NASDAQ in 2022 at 744 gain after CPIdata came in lower than expected Is this an over reaction or only the beginning stocks
1590711627338633216,2022-11-10 14:23:00+00:00,55,9,https://twitter.com/i/web/status/1590711627338633216,cpi report came in at 77 with expectation at 8 Core cpi came in at 63 with expectation at 65 Nasdaq is up 457 premarket Great news for the stockmarket inflation
1590524254369742848,2022-11-10 01:58:27+00:00,35,2,https://twitter.com/i/web/status/1590524254369742848,Ejecto seato cuzzz ftx Binance bitcoin
1590387898125529089,2022-11-09 16:56:37+00:00,97,26,https://twitter.com/i/web/status/1590387898125529089,The quicker you find out most people in your life are only temporary distractions the quicker you can focus on your own happiness focus
1589041166619934720,2022-11-05 23:45:11+00:00,73,9,https://twitter.com/i/web/status/1589041166619934720,If it comes easy it will go fast Mindset
1587634329403895809,2022-11-02 02:34:55+00:00,71,4,https://twitter.com/i/web/status/1587634329403895809,If everything is under control youre going too slow hustle
1586014982780567553,2022-10-28 15:20:13+00:00,77,11,https://twitter.com/i/web/status/1586014982780567553,It often takes the most uncomfortable paths to lead your life to the most beautiful place happy
1585842322033364992,2022-10-28 03:54:07+00:00,57,9,https://twitter.com/i/web/status/1585842322033364992,Let pain build you
1585686237095948288,2022-10-27 17:33:54+00:00,55,12,https://twitter.com/i/web/status/1585686237095948288,Im not difficult Ive just settled for a lot in the past I have no more time to waste mindset
1585439032007282688,2022-10-27 01:11:35+00:00,65,17,https://twitter.com/i/web/status/1585439032007282688,Be okay with giving the gift of your absence to those who do not appreciate amp respect your presence motivation
1585111463404134403,2022-10-26 03:29:57+00:00,94,10,https://twitter.com/i/web/status/1585111463404134403,LAZY PEOPLE DO LITTLE WORK AND THINK THEY SHOULD BE WINNING BUT WINNERS WORK AS HARD AS POSSIBLE AND STILL WORRY ABOUT BEING LAZY mindset
1583558689184632834,2022-10-21 20:39:47+00:00,55,8,https://twitter.com/i/web/status/1583558689184632834,The desire of wanting to be successful is nothing special Putting in the work when nothing is guaranteed thats special mindset success
1583505696183623687,2022-10-21 17:09:12+00:00,192,10,https://twitter.com/i/web/status/1583505696183623687,What I do is simple but its not easy discipline success
1583158250677014528,2022-10-20 18:08:35+00:00,76,6,https://twitter.com/i/web/status/1583158250677014528,Call me crazy but I love seeing other people happy and succeeding success mindset hustle
